timestamp,action_type,action_side,qty
1761080446890,ADD_ORDER,SELL,4
1761080446890,ADD_ORDER,BUY,1
1761080446890,ADD_ORDER,SELL,2
1761080446890,ADD_ORDER,BUY,2
1761080446890,ADD_ORDER,BUY,3
1761080446891,ADD_ORDER,SELL,5
1761080446891,ADD_ORDER,BUY,4
1761080446891,ADD_ORDER,SELL,4
1761080446891,ADD_ORDER,BUY,3
1761080446891,ADD_ORDER,BUY,5
1761080446891,ADD_ORDER,BUY,1
1761080446891,ADD_ORDER,BUY,3
1761080446891,ADD_ORDER,BUY,3
1761080446891,ADD_ORDER,BUY,2
1761080446891,ADD_ORDER,SELL,1
1761080446891,ADD_ORDER,SELL,1
1761080446892,ADD_ORDER,SELL,2
1761080446947,ADD_ORDER,SELL,1
1761080446947,ADD_ORDER,SELL,4
1761080446947,ADD_ORDER,BUY,1
1761080446947,ADD_ORDER,SELL,4
1761080446947,ADD_ORDER,BUY,5
1761080446947,ADD_ORDER,SELL,5
1761080446947,ADD_ORDER,BUY,4
1761080446947,ADD_ORDER,SELL,1
1761080446947,ADD_ORDER,SELL,2
1761080446947,ADD_ORDER,BUY,1
1761080446947,ADD_ORDER,BUY,4
1761080446947,ADD_ORDER,BUY,1
1761080446947,ADD_ORDER,BUY,3
1761080446948,ADD_ORDER,SELL,2
1761080446948,ADD_ORDER,SELL,1
1761080446948,ADD_ORDER,BUY,3
1761080446948,ADD_ORDER,BUY,1
1761080446948,ADD_ORDER,SELL,4
1761080446948,ADD_ORDER,SELL,1
1761080446948,ADD_ORDER,SELL,1
1761080446948,ADD_ORDER,BUY,5
1761080446948,ADD_ORDER,BUY,5
1761080446948,ADD_ORDER,SELL,2
1761080446948,ADD_ORDER,SELL,1
1761080447004,ADD_ORDER,SELL,2
1761080447004,ADD_ORDER,SELL,2
1761080447004,ADD_ORDER,BUY,5
1761080447004,ADD_ORDER,SELL,1
1761080447004,ADD_ORDER,SELL,4
1761080447004,ADD_ORDER,SELL,1
1761080447004,ADD_ORDER,SELL,3
1761080447005,ADD_ORDER,SELL,1
1761080447005,ADD_ORDER,SELL,5
1761080447005,ADD_ORDER,BUY,2
1761080447005,ADD_ORDER,BUY,3
1761080447005,ADD_ORDER,SELL,5
